University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
Khyber Pakhtunkhwa Agricultural University,2/4/1981,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
King Edward Medical University,2/15/2005,Public,Government of Punjab,Lahore,Punjab,Yes
Kinnaird College for Women,10/25/2002,Public,Government of Punjab,Lahore,Punjab,Yes
Kohat University of Science and Technology,8/30/2001,Public,Government of Khyber Pakhtunkhwa,Kohat,Khyber Pakhtunkhwa,Yes
"Kohsar University, Murree",7/2/2020,Public,Government of Punjab,Rawalpindi,Punjab,Yes
Lahore College for Women University,9/10/2002,Public,Government of Punjab,Lahore,Punjab,Yes
Lahore Garrison University,3/19/2014,Private,Government of Punjab,Lahore,Punjab,Yes
"Lahore Institute of Science & Technology, Lahore",1/18/2022,Private,Government of Punjab,Lahore,Punjab,Yes
Lahore Leads University,1/22/2001,Private,Government of Punjab,Lahore,Punjab,Yes
Lahore School of Economics,6/16/1997,Private,Government of Punjab,Lahore,Punjab,Yes
Lahore University of Management Sciences,3/31/1985,Private,Government of Pakistan,Lahore,Punjab,Yes
"Lasbela University of Agriculture, Water & Marine Sciences",3/10/2005,Public,Government of Balochistan,Lasbella,Balochistan,Yes
Liaquat University of Medical & Health Sciences,1/20/2001,Public,Government of Sindh,Jamshoro,Sindh,Yes
"Malir University of Science & Technology, Karachi",4/29/2022,Private,Government of Sindh,Karachi,Sindh,Yes
Mehran University of Engineering & Technology,5/30/1977,Public,Government of Sindh,Khairpur,Sindh,Yes
Metropolitan University Karachi,4/5/2016,Private,Government of Sindh,Karachi,Sindh,Yes
"Millennium Institute of Technology and Entrepreneurship, Karachi",4/28/2021,Private,Government of Sindh,Karachi,Sindh,Yes
Minhaj University,10/15/2005,Private,Government of Punjab,Lahore,Punjab,Yes
"Mir Chakar Khan Rind University of Technology, Dera Ghazi Khan",3/15/2019,Public,Government of Punjab,Dera Ghazi Khan,Punjab,Yes
"Mir Chakar Khan Rind University, Sibi Balochistan",6/13/2018,Public,Government of Balochistan,Sibi,Balochistan,Yes
Mirpur University of Science & Technology,1/18/2008,Public,Government of AJK,Mirpur,Azad Jammu & Kashmir,Yes
Mohi-ud-Din Islamic University,1/18/2000,Private,Government of AJK,Nerian Sharif,Azad Jammu & Kashmir,Yes
Muhammad Ali Jinnah University,5/18/2000,Private,Government of Sindh,Karachi,Sindh,Yes
Muhammad Nawaz Shareef University of Agriculture,9/11/2013,Public,Government of Punjab,Multan,Punjab,Yes
Muhammad Nawaz Sharif University of Engineering & Technology,5/29/2014,Public,Government of Punjab,Multan,Punjab,Yes
